run_accession	sample_accession	experiment_accession	study_accession	fastq_ftp
SRR341669	SAMN00715219	SRX095750	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341669/SRR341669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341669/SRR341669_2.fastq.gz
SRR341673	SAMN00715223	SRX095754	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341673/SRR341673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341673/SRR341673_2.fastq.gz
SRR341675	SAMN00715225	SRX095756	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341675/SRR341675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341675/SRR341675_2.fastq.gz
SRR341679	SAMN00715229	SRX095760	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341679/SRR341679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341679/SRR341679_2.fastq.gz
SRR341681	SAMN00715231	SRX095762	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341681/SRR341681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341681/SRR341681_2.fastq.gz
SRR341682	SAMN00715232	SRX095763	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341682/SRR341682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341682/SRR341682_2.fastq.gz
SRR341684	SAMN00715234	SRX095765	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341684/SRR341684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341684/SRR341684_2.fastq.gz
SRR341686	SAMN00715236	SRX095767	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341686/SRR341686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341686/SRR341686_2.fastq.gz
SRR341687	SAMN00715237	SRX095768	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341687/SRR341687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341687/SRR341687_2.fastq.gz
SRR341691	SAMN00715241	SRX095772	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341691/SRR341691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341691/SRR341691_2.fastq.gz
SRR341695	SAMN00715245	SRX095776	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341695/SRR341695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341695/SRR341695_2.fastq.gz
SRR341697	SAMN00715247	SRX095778	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341697/SRR341697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341697/SRR341697_2.fastq.gz
SRR341698	SAMN00715248	SRX095779	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341698/SRR341698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341698/SRR341698_2.fastq.gz
SRR341700	SAMN00715250	SRX095781	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341700/SRR341700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341700/SRR341700_2.fastq.gz
SRR341701	SAMN00715251	SRX095782	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341701/SRR341701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341701/SRR341701_2.fastq.gz
SRR341710	SAMN00715260	SRX095791	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341710/SRR341710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341710/SRR341710_2.fastq.gz
SRR341711	SAMN00715261	SRX095792	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341711/SRR341711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341711/SRR341711_2.fastq.gz
SRR341712	SAMN00715262	SRX095793	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341712/SRR341712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341712/SRR341712_2.fastq.gz
SRR341713	SAMN00715263	SRX095794	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341713/SRR341713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341713/SRR341713_2.fastq.gz
SRR341719	SAMN00715269	SRX095800	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341719/SRR341719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341719/SRR341719_2.fastq.gz
SRR1778450	SAMN00993239	SRX858068	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/000/SRR1778450/SRR1778450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/000/SRR1778450/SRR1778450_2.fastq.gz
SRR1778451	SAMN00993240	SRX858069	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/001/SRR1778451/SRR1778451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/001/SRR1778451/SRR1778451_2.fastq.gz
SRR1778456	SAMN00993245	SRX858074	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/006/SRR1778456/SRR1778456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/006/SRR1778456/SRR1778456_2.fastq.gz
SRR413558	SAMN00791903	SRX121936	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413558/SRR413558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413558/SRR413558_2.fastq.gz
SRR413561	SAMN00791906	SRX121939	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413561/SRR413561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413561/SRR413561_2.fastq.gz
SRR413562	SAMN00791907	SRX121940	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413562/SRR413562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413562/SRR413562_2.fastq.gz
SRR413568	SAMN00791913	SRX121946	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413568/SRR413568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413568/SRR413568_2.fastq.gz
SRR413571	SAMN00791916	SRX121949	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413571/SRR413571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413571/SRR413571_2.fastq.gz
SRR413573	SAMN00791918	SRX121951	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413573/SRR413573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413573/SRR413573_2.fastq.gz
SRR413574	SAMN00791919	SRX121952	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413574/SRR413574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413574/SRR413574_2.fastq.gz
SRR413577	SAMN00791922	SRX121955	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413577/SRR413577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413577/SRR413577_2.fastq.gz
SRR413588	SAMN00791933	SRX121966	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413588/SRR413588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413588/SRR413588_2.fastq.gz
SRR413589	SAMN00791934	SRX121967	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413589/SRR413589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413589/SRR413589_2.fastq.gz
SRR413591	SAMN00791936	SRX121969	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413591/SRR413591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413591/SRR413591_2.fastq.gz
SRR413594	SAMN00791939	SRX121972	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413594/SRR413594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413594/SRR413594_2.fastq.gz
SRR413599	SAMN00791944	SRX121977	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413599/SRR413599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413599/SRR413599_2.fastq.gz
SRR413604	SAMN00791949	SRX121982	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413604/SRR413604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413604/SRR413604_2.fastq.gz
SRR413608	SAMN00791953	SRX121986	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413608/SRR413608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413608/SRR413608_2.fastq.gz
SRR413609	SAMN00791954	SRX121987	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413609/SRR413609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413609/SRR413609_2.fastq.gz
SRR413612	SAMN00791957	SRX121990	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413612/SRR413612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413612/SRR413612_2.fastq.gz
SRR413614	SAMN00791959	SRX121992	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413614/SRR413614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413614/SRR413614_2.fastq.gz
SRR413617	SAMN00791962	SRX121995	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413617/SRR413617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413617/SRR413617_2.fastq.gz
SRR413618	SAMN00791963	SRX121996	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413618/SRR413618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413618/SRR413618_2.fastq.gz
SRR413623	SAMN00791968	SRX122001	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413623/SRR413623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413623/SRR413623_2.fastq.gz
SRR413628	SAMN00791973	SRX122006	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413628/SRR413628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413628/SRR413628_2.fastq.gz
SRR413631	SAMN00791976	SRX122009	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413631/SRR413631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413631/SRR413631_2.fastq.gz
SRR413635	SAMN00791980	SRX122013	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413635/SRR413635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413635/SRR413635_2.fastq.gz
SRR413638	SAMN00791983	SRX122016	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413638/SRR413638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413638/SRR413638_2.fastq.gz
SRR413643	SAMN00791988	SRX122021	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413643/SRR413643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413643/SRR413643_2.fastq.gz
SRR413645	SAMN00791990	SRX122023	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413645/SRR413645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413645/SRR413645_2.fastq.gz
SRR413652	SAMN00791997	SRX122030	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413652/SRR413652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413652/SRR413652_2.fastq.gz
SRR413654	SAMN00791999	SRX122032	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413654/SRR413654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413654/SRR413654_2.fastq.gz
SRR413655	SAMN00792000	SRX122033	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413655/SRR413655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413655/SRR413655_2.fastq.gz
SRR413656	SAMN00792001	SRX122034	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413656/SRR413656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413656/SRR413656_2.fastq.gz
SRR413658	SAMN00792003	SRX122036	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413658/SRR413658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413658/SRR413658_2.fastq.gz
SRR413667	SAMN00792012	SRX122045	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413667/SRR413667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413667/SRR413667_2.fastq.gz
SRR413669	SAMN00792014	SRX122047	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413669/SRR413669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413669/SRR413669_2.fastq.gz
SRR413684	SAMN00792029	SRX122062	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413684/SRR413684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413684/SRR413684_2.fastq.gz
SRR413686	SAMN00792031	SRX122064	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413686/SRR413686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413686/SRR413686_2.fastq.gz
SRR413687	SAMN00792032	SRX122065	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413687/SRR413687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413687/SRR413687_2.fastq.gz
SRR413691	SAMN00792036	SRX122069	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413691/SRR413691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413691/SRR413691_2.fastq.gz
SRR413695	SAMN00792040	SRX122073	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413695/SRR413695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413695/SRR413695_2.fastq.gz
SRR413697	SAMN00792042	SRX122075	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413697/SRR413697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413697/SRR413697_2.fastq.gz
SRR413699	SAMN00792044	SRX122077	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413699/SRR413699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413699/SRR413699_2.fastq.gz
SRR413700	SAMN00792045	SRX122078	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413700/SRR413700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413700/SRR413700_2.fastq.gz
SRR413703	SAMN00792048	SRX122081	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413703/SRR413703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413703/SRR413703_2.fastq.gz
SRR413705	SAMN00792050	SRX122083	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413705/SRR413705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413705/SRR413705_2.fastq.gz
SRR413706	SAMN00792051	SRX122084	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413706/SRR413706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413706/SRR413706_2.fastq.gz
SRR413716	SAMN00792061	SRX122094	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413716/SRR413716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413716/SRR413716_2.fastq.gz
SRR413721	SAMN00792066	SRX122099	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413721/SRR413721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413721/SRR413721_2.fastq.gz
SRR413724	SAMN00792069	SRX122102	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413724/SRR413724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413724/SRR413724_2.fastq.gz
SRR413726	SAMN00792071	SRX122104	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413726/SRR413726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413726/SRR413726_2.fastq.gz
SRR413732	SAMN00792077	SRX122110	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413732/SRR413732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413732/SRR413732_2.fastq.gz
SRR413736	SAMN00792081	SRX122114	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413736/SRR413736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413736/SRR413736_2.fastq.gz
SRR413738	SAMN00792083	SRX122116	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413738/SRR413738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413738/SRR413738_2.fastq.gz
SRR413739	SAMN00792084	SRX122117	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413739/SRR413739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413739/SRR413739_2.fastq.gz
SRR413742	SAMN00792087	SRX122120	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413742/SRR413742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413742/SRR413742_2.fastq.gz
SRR413748	SAMN00792093	SRX122126	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413748/SRR413748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413748/SRR413748_2.fastq.gz
SRR413752	SAMN00792097	SRX122130	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413752/SRR413752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413752/SRR413752_2.fastq.gz
SRR413757	SAMN00792102	SRX122135	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413757/SRR413757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR413/SRR413757/SRR413757_2.fastq.gz
