run_accession	sample_accession	experiment_accession	study_accession	fastq_ftp
SRR6928739	SAMN08848388	SRX3874519	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928739/SRR6928739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928739/SRR6928739_2.fastq.gz
SRR6928741	SAMN08848331	SRX3874517	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928741/SRR6928741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928741/SRR6928741_2.fastq.gz
SRR6928744	SAMN08848324	SRX3874514	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928744/SRR6928744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928744/SRR6928744_2.fastq.gz
SRR6928746	SAMN08848322	SRX3874512	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928746/SRR6928746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928746/SRR6928746_2.fastq.gz
SRR6928747	SAMN08848329	SRX3874511	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928747/SRR6928747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928747/SRR6928747_2.fastq.gz
SRR6928750	SAMN08848326	SRX3874508	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928750/SRR6928750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928750/SRR6928750_2.fastq.gz
SRR6928751	SAMN08848377	SRX3874507	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928751/SRR6928751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928751/SRR6928751_2.fastq.gz
SRR6928752	SAMN08848376	SRX3874506	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928752/SRR6928752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928752/SRR6928752_2.fastq.gz
SRR6928753	SAMN08848379	SRX3874505	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928753/SRR6928753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928753/SRR6928753_2.fastq.gz
SRR6928756	SAMN08848372	SRX3874502	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928756/SRR6928756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928756/SRR6928756_2.fastq.gz
SRR6928757	SAMN08848375	SRX3874501	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928757/SRR6928757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928757/SRR6928757_2.fastq.gz
SRR6928758	SAMN08848374	SRX3874500	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928758/SRR6928758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928758/SRR6928758_2.fastq.gz
SRR6928761	SAMN08848368	SRX3874497	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928761/SRR6928761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928761/SRR6928761_2.fastq.gz
SRR6928764	SAMN08848367	SRX3874494	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928764/SRR6928764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928764/SRR6928764_2.fastq.gz
SRR6928765	SAMN08848364	SRX3874493	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928765/SRR6928765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928765/SRR6928765_2.fastq.gz
SRR6928774	SAMN08848355	SRX3874484	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928774/SRR6928774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928774/SRR6928774_2.fastq.gz
SRR6928786	SAMN08848346	SRX3874472	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928786/SRR6928786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928786/SRR6928786_2.fastq.gz
SRR6928787	SAMN08848347	SRX3874471	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928787/SRR6928787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928787/SRR6928787_2.fastq.gz
SRR6928790	SAMN08848342	SRX3874468	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928790/SRR6928790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928790/SRR6928790_2.fastq.gz
SRR6928792	SAMN08848344	SRX3874466	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928792/SRR6928792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928792/SRR6928792_2.fastq.gz
SRR6928793	SAMN08848345	SRX3874465	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928793/SRR6928793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928793/SRR6928793_2.fastq.gz
SRR6928795	SAMN08848412	SRX3874463	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928795/SRR6928795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928795/SRR6928795_2.fastq.gz
SRR6928798	SAMN08848417	SRX3874460	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928798/SRR6928798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928798/SRR6928798_2.fastq.gz
SRR6928799	SAMN08848416	SRX3874459	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928799/SRR6928799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928799/SRR6928799_2.fastq.gz
SRR6928806	SAMN08848333	SRX3874452	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928806/SRR6928806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928806/SRR6928806_2.fastq.gz
SRR6928807	SAMN08848332	SRX3874451	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928807/SRR6928807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928807/SRR6928807_2.fastq.gz
SRR6928701	SAMN08848404	SRX3874557	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928701/SRR6928701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928701/SRR6928701_2.fastq.gz
SRR6928703	SAMN08848402	SRX3874555	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928703/SRR6928703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928703/SRR6928703_2.fastq.gz
SRR6928704	SAMN08848403	SRX3874554	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928704/SRR6928704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928704/SRR6928704_2.fastq.gz
SRR6928709	SAMN08848410	SRX3874549	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928709/SRR6928709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928709/SRR6928709_2.fastq.gz
SRR6928711	SAMN08848401	SRX3874547	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928711/SRR6928711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928711/SRR6928711_2.fastq.gz
SRR6928712	SAMN08848400	SRX3874546	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928712/SRR6928712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928712/SRR6928712_2.fastq.gz
SRR6928714	SAMN08848398	SRX3874544	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928714/SRR6928714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928714/SRR6928714_2.fastq.gz
SRR6928719	SAMN08848393	SRX3874539	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928719/SRR6928719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928719/SRR6928719_2.fastq.gz
SRR6928721	SAMN08848422	SRX3874537	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928721/SRR6928721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928721/SRR6928721_2.fastq.gz
SRR6928724	SAMN08848425	SRX3874534	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928724/SRR6928724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928724/SRR6928724_2.fastq.gz
SRR6928726	SAMN08848427	SRX3874532	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928726/SRR6928726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928726/SRR6928726_2.fastq.gz
SRR6928732	SAMN08848391	SRX3874526	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928732/SRR6928732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928732/SRR6928732_2.fastq.gz
SRR6928740	SAMN08848389	SRX3874518	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928740/SRR6928740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928740/SRR6928740_2.fastq.gz
SRR6928742	SAMN08848330	SRX3874516	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928742/SRR6928742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928742/SRR6928742_2.fastq.gz
SRR6928743	SAMN08848325	SRX3874515	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928743/SRR6928743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928743/SRR6928743_2.fastq.gz
SRR6928748	SAMN08848328	SRX3874510	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928748/SRR6928748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928748/SRR6928748_2.fastq.gz
SRR6928749	SAMN08848327	SRX3874509	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928749/SRR6928749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928749/SRR6928749_2.fastq.gz
SRR6928759	SAMN08848381	SRX3874499	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928759/SRR6928759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928759/SRR6928759_2.fastq.gz
SRR6928762	SAMN08848369	SRX3874496	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928762/SRR6928762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928762/SRR6928762_2.fastq.gz
SRR6928766	SAMN08848365	SRX3874492	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928766/SRR6928766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928766/SRR6928766_2.fastq.gz
SRR6928771	SAMN08848434	SRX3874487	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928771/SRR6928771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928771/SRR6928771_2.fastq.gz
SRR6928775	SAMN08848354	SRX3874483	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928775/SRR6928775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928775/SRR6928775_2.fastq.gz
SRR6928777	SAMN08848352	SRX3874481	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928777/SRR6928777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928777/SRR6928777_2.fastq.gz
SRR6928778	SAMN08848359	SRX3874480	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928778/SRR6928778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928778/SRR6928778_2.fastq.gz
SRR6928779	SAMN08848358	SRX3874479	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928779/SRR6928779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928779/SRR6928779_2.fastq.gz
SRR6928780	SAMN08848357	SRX3874478	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928780/SRR6928780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928780/SRR6928780_2.fastq.gz
SRR6928782	SAMN08848361	SRX3874476	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928782/SRR6928782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928782/SRR6928782_2.fastq.gz
SRR6928784	SAMN08848350	SRX3874474	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928784/SRR6928784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928784/SRR6928784_2.fastq.gz
SRR6928788	SAMN08848348	SRX3874470	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928788/SRR6928788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928788/SRR6928788_2.fastq.gz
SRR6928791	SAMN08848343	SRX3874467	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928791/SRR6928791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928791/SRR6928791_2.fastq.gz
SRR6928796	SAMN08848415	SRX3874462	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928796/SRR6928796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928796/SRR6928796_2.fastq.gz
SRR6928802	SAMN08848421	SRX3874456	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928802/SRR6928802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928802/SRR6928802_2.fastq.gz
SRR6928803	SAMN08848420	SRX3874455	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928803/SRR6928803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928803/SRR6928803_2.fastq.gz
SRR6928805	SAMN08848340	SRX3874453	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928805/SRR6928805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928805/SRR6928805_2.fastq.gz
SRR6928808	SAMN08848335	SRX3874450	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928808/SRR6928808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928808/SRR6928808_2.fastq.gz
SRR6928810	SAMN08848337	SRX3874448	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928810/SRR6928810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928810/SRR6928810_2.fastq.gz
SRR6928813	SAMN08848338	SRX3874445	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928813/SRR6928813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928813/SRR6928813_2.fastq.gz
SRR6928702	SAMN08848405	SRX3874556	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928702/SRR6928702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928702/SRR6928702_2.fastq.gz
SRR6928706	SAMN08848409	SRX3874552	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928706/SRR6928706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928706/SRR6928706_2.fastq.gz
SRR6928716	SAMN08848396	SRX3874542	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928716/SRR6928716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928716/SRR6928716_2.fastq.gz
SRR6928717	SAMN08848395	SRX3874541	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928717/SRR6928717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928717/SRR6928717_2.fastq.gz
SRR6928722	SAMN08848423	SRX3874536	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928722/SRR6928722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928722/SRR6928722_2.fastq.gz
SRR6928725	SAMN08848426	SRX3874533	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928725/SRR6928725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928725/SRR6928725_2.fastq.gz
SRR6928727	SAMN08848428	SRX3874531	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928727/SRR6928727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928727/SRR6928727_2.fastq.gz
SRR6928730	SAMN08848431	SRX3874528	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928730/SRR6928730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928730/SRR6928730_2.fastq.gz
SRR6928731	SAMN08848390	SRX3874527	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928731/SRR6928731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/001/SRR6928731/SRR6928731_2.fastq.gz
SRR6928734	SAMN08848383	SRX3874524	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928734/SRR6928734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928734/SRR6928734_2.fastq.gz
SRR6928737	SAMN08848386	SRX3874521	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928737/SRR6928737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928737/SRR6928737_2.fastq.gz
SRR6928745	SAMN08848323	SRX3874513	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928745/SRR6928745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928745/SRR6928745_2.fastq.gz
SRR6928754	SAMN08848378	SRX3874504	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928754/SRR6928754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/004/SRR6928754/SRR6928754_2.fastq.gz
SRR6928755	SAMN08848373	SRX3874503	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928755/SRR6928755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928755/SRR6928755_2.fastq.gz
SRR6928760	SAMN08848380	SRX3874498	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928760/SRR6928760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928760/SRR6928760_2.fastq.gz
SRR6928763	SAMN08848366	SRX3874495	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928763/SRR6928763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928763/SRR6928763_2.fastq.gz
SRR6928767	SAMN08848362	SRX3874491	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928767/SRR6928767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928767/SRR6928767_2.fastq.gz
SRR6928768	SAMN08848363	SRX3874490	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928768/SRR6928768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928768/SRR6928768_2.fastq.gz
SRR6928769	SAMN08848370	SRX3874489	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928769/SRR6928769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928769/SRR6928769_2.fastq.gz
SRR6928770	SAMN08848371	SRX3874488	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928770/SRR6928770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928770/SRR6928770_2.fastq.gz
SRR6928772	SAMN08848433	SRX3874486	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928772/SRR6928772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/002/SRR6928772/SRR6928772_2.fastq.gz
